Variety,Shape,Sieve,Aroma,Flavor,Aftertaste,Acidity,Body,Uniformity,Balance,clean cup,Sweetness,Taster´s score,Final score
CO,PE,13,6.5,6,6,6,6,10,6,10,10,6,72.5
CO,PE,13,6,6,6,6,6,10,6,10,10,6,72
CO,PE,13,6,6,6,6,6,10,6,10,8,6,70
CO,PE,13,6.25,6,6,6,6,10,6,10,8,6,70.25
CO,PE,13,6.75,6,6,6,6,10,6,10,10,6,72.75
CO,PE,13,6.75,6.5,6.5,6,6,10,6,10,10,6,73.75
CO,PE,13,6.5,6,6,6,6,10,6,10,6,6,68.5
CO,MI,13,6.75,6.25,6.25,6.25,6.5,10,6.5,10,10,6.5,75
CO,MI,13,6.5,6.5,6.25,6.25,6.5,10,6.75,10,10,6.75,75.5
CO,MI,13,7,7.25,7.25,7.75,7.25,10,7.25,10,10,8,81.75
CO,MI,13,6,7,6.25,6,6,10,6.25,10,10,6.25,73.75
CO,MI,13,7.5,6.5,6.75,6.5,6.5,10,6.5,10,10,6.5,76.75
CO,MI,13,7.75,7.25,7.25,7.5,7.5,10,7.5,10,10,7.5,82.25
CO,MI,13,6.5,6.25,6.25,6,6,10,6,10,10,6,73
CO,MI,13,6.75,6,6,6,6,10,6,10,10,6,72.75
CO,MI,13,6,6,6,6,6,10,6,10,10,6,72
CO,MI,14,6.5,6.25,6,6,6.5,10,6.5,10,10,6.5,74.25
CO,MI,14,6.25,6,6,6,6.25,10,6.25,10,10,6.25,73
CO,MI,14,7.25,7,7.25,7.5,7.5,10,7.5,10,10,7.5,81.5
CO,MI,14,7,7,7.25,7.25,7,10,7,10,10,7.25,79.75
CO,MI,14,6.25,6.25,6,6,6,10,6.25,10,10,6.25,73
CO,MI,14,7,6.25,6,6.5,6.25,10,6.25,10,10,6.25,74.5
CO,MI,14,7,6.5,6.5,6.5,6.25,10,6.5,10,10,6.25,75.5
CO,MI,14,7.75,7.25,7.25,7.25,7,10,7,10,10,7.25,80.75
CO,MI,14,7.5,7,7,7,6.5,10,7.25,10,10,7.25,79.5
CO,MI,15,6.25,6,6,6,6,8,6,8,10,6.25,68.5
CO,MI,15,7,7,7,6.75,7,10,6.75,10,10,6.75,78.25
CO,MI,15,6.25,6.25,6.25,6.25,6.25,10,6.25,10,10,6.25,73.75
CO,MI,15,7.25,7.25,7,7,6.75,10,7.25,10,10,7,79.5
CO,MI,15,6.75,6,6,6,6,10,6,10,10,6,72.75
CO,MI,15,6.5,6,6,6,6,10,6,10,10,6,72.5
CO,FL,13,7,7,7,7.25,7,10,7,10,10,7,79.25
CO,FL,13,6.75,6.75,6.5,6.5,6.5,10,6.75,10,10,6.75,76.5
CO,FL,13,7.5,7.25,7.5,7.25,7.25,10,7.25,10,10,7.25,81.25
CO,FL,13,7,7,7,7,6.5,10,7,10,10,7,78.5
CO,FL,13,7.25,6.5,6.5,7,6.75,10,6.5,10,10,6.5,77
CO,FL,13,7.25,6.5,6.5,7,6.75,10,6.5,10,10,6.5,77
CO,FL,14,7.5,7.5,7.5,7.75,7.5,10,7.5,10,10,7.5,82.75
CO,FL,14,6.25,6.5,6.5,6.75,6,8,6,10,10,6.5,72.5
CO,FL,14,6.5,6.5,6.25,6.75,6.5,8,6.5,10,10,6.5,73.25
CO,FL,14,6.75,6.75,6.75,6.5,6.5,10,6.5,10,10,6.5,76.25
CO,FL,14,6.25,6,6.25,6.5,8,10,6.5,10,10,6.5,76
CO,FL,14,6.75,6.75,6.75,6.75,6,10,6,10,10,6.5,75.5
CO,FL,15,7.5,7.25,7.25,7.5,7.5,10,7.5,10,10,7.25,81.75
CO,FL,15,6.5,6.5,6.25,6.25,6.25,10,6.25,10,10,6.25,74.25
CO,FL,15,6.5,6.5,6.25,6.25,6.25,10,6.25,10,10,6.25,74.25
CO,FL,15,6.5,6,6,6,6,10,6,10,8,6,70.5
CO,FL,15,7,7,7,6,6,10,6.5,10,10,6.5,75.5
CO,FL,15,6.5,6.75,6.25,6.25,6.25,10,6.25,10,10,6.5,74.75
CO,FL,15,6.5,6.75,6.5,6,6,8,6,10,10,6.5,72.25
CO,FL,15,6.75,6.5,6,6,6.5,10,6.5,10,10,6.5,74.75
CO,FL,15,6.5,6.25,6,6,6.25,10,6.25,10,10,6.25,73.5
CO,FL,15,6.75,6.5,6.25,6,6,10,6.5,10,10,6.5,74.5
CO,FL,15,6.75,6.25,6.25,6.75,6,10,6.25,10,10,6.5,74.75
CO,FL,16,6.25,6,6,6.25,6,10,6.25,10,10,6.25,73
CO,FL,16,7,7.25,7.25,7.25,7.25,10,7.25,10,10,7.5,80.75
CO,FL,16,7,6.75,6.75,6.5,6.25,10,6.5,10,10,6.25,76
CO,FL,16,7,6.5,6.25,6.25,6.25,10,6.25,10,10,6.25,74.75
CO,FL,16,7.25,7.25,6.75,7,7,10,6.5,10,10,6.75,78.5
CO,FL,16,6.5,6.5,6.5,6.25,6.25,10,6.5,10,10,7,75.5
CO,FL,16,6.5,6.5,6.5,6.25,6.25,10,6.5,10,10,6.5,75
CO,FL,16,6.5,6.5,6.5,6.75,6.5,10,6.5,10,10,7,76.25
CO,FL,16,6,6,6.25,6,6,10,6,10,10,6.5,72.75
CO,FL,16,7,6.75,6.25,7,6.5,10,6.75,10,10,7.25,77.5
CO,FL,16,7.5,7.25,7.25,7.5,7.5,10,7.5,10,10,7.5,82
CO,FL,16,7.5,7.75,7,7,7,10,7,10,10,7,80.25
CO,FL,16,6.75,6.25,6.25,6,6.25,10,6.25,10,10,6,73.75
CO,FL,16,7.5,6.25,6,6,6.25,10,6.25,10,10,6.25,74.5
CO,FL,17,6.25,6.25,6,6,6.25,10,6.5,10,10,6.5,73.75
CO,FL,17,6.75,6,6.25,6.25,6,10,6.25,10,10,6,73.5
CO,FL,17,7.25,6.75,6.75,6.5,6.25,10,6.5,10,10,6.5,76.5
CO,FL,17,6.75,6,6,6,6.25,10,6.25,10,10,6.5,73.75
CO,FL,17,7.5,7.25,7.5,7.5,7,10,7.25,10,10,7.25,81.25
CO,FL,17,7.5,7.25,7.25,7.25,7.25,10,7.25,10,10,7.25,81
CO,FL,17,6,6,6,6.25,6,10,6,10,10,6,72.25
CO,FL,18,7,7.25,7,7.75,7.25,10,7,10,10,7.25,80.5
CO,FL,18,7,7,7,7.25,7,10,7,10,10,7.25,79.5
CO,FL,18,6.5,6,6,6,6,10,6,10,10,6.25,72.75
CO,FL,18,7.25,6.25,6,6.25,6,10,6.25,10,10,6.25,74.25
CO,FL,18,6.25,6,6,6,6,8,6,10,10,6,70.25
CO,FL,18,6,6,6,6,6,6,6,10,8,6,66
CR,MI,13,7,7.25,7.25,7.25,7.25,10,7.25,10,10,7.25,80.5
CR,MI,13,7.25,7.5,7.25,7.75,7.5,10,7.5,10,10,7.25,82
CR,MI,13,6.75,6.75,6.75,6.75,6.75,10,6.75,10,10,7,77.5
CR,MI,13,6.25,6.25,6,6,6,10,6,10,10,6,72.5
CR,MI,13,7.25,6.25,6.25,6,6.5,10,6.25,10,10,6.25,74.75
CR,MI,13,6.75,6.5,6.5,6.5,6.25,10,6.5,10,10,6.5,75.5
CR,MI,13,7.25,7.5,7.5,7,7,10,7.25,10,10,7.25,80.75
CR,MI,13,7.5,7.25,6.25,6.25,6.5,10,7,10,10,7,77.75
CR,MI,13,7.5,7.5,7.5,7.5,7.5,10,7.5,10,10,7.5,82.5
CR,MI,13,6.5,7,7,6.75,6.75,10,6.75,10,10,7,77.75
CR,MI,14,7.25,7,7,7.25,7.25,10,7,10,10,7,79.75
CR,MI,14,7,7.25,7.25,7.25,7,10,7.25,10,10,7.25,80.25
CR,MI,14,6.25,6.25,6.25,6,6,10,6,10,10,6,72.75
CR,MI,14,7,7.25,7,7.25,7.25,10,7.25,10,10,7.5,80.5
CR,MI,14,7.75,7,6.5,6.75,6.5,10,7,10,10,7,78.5
CR,MI,14,6.5,7,6.5,6.5,6.5,10,6.5,10,10,6.5,76
CR,MI,14,7,7,7.25,7.25,7.25,10,7,10,10,7,79.75
CR,MI,14,6,6.5,6.25,6.25,6.25,10,6.25,10,8,6,71.25
CR,MI,14,7,6.75,6.75,6.5,7,10,6.5,10,10,7,77.5
CR,MI,15,7,6.75,6.75,6.5,6.5,10,6.5,10,10,6,76
CR,MI,15,7,6.25,6.25,6,6.25,10,6.25,10,10,6.25,74.25
CR,MI,15,6.75,6.5,6.5,6.25,6,10,6.25,10,10,6,74.25
CR,MI,15,7.25,7,7,7,6.5,10,7,10,10,7,78.75
CR,MI,15,6.75,6.5,6.5,6.25,6.25,10,6.25,10,10,6.25,74.75
CR,MI,15,7.5,7,7,7.25,7,10,7,10,10,7,79.75
CR,MI,15,7.25,6.5,6.5,7,6.25,10,7,10,10,7,77.5
CR,MI,15,7.5,7,7,7,7,10,7,10,10,7,79.5
CR,MI,15,6.75,6.5,6.5,7,6.5,10,6.5,10,10,6.5,76.25
CR,FL,14,6.5,6,6,6,6,10,6,10,6,6,68.5
CR,FL,14,6,6,6,6,6,6,6,10,10,6,68
CR,FL,14,6,6.5,6.5,6,6.25,10,6.25,10,10,6.5,74
CR,FL,14,6,6,6,6.5,6.25,8,6,10,8,6,68.5
CR,FL,14,6.75,6,6,6,6,10,6,10,8,6,70.75
CR,FL,15,6,6.5,6,6.5,6.25,10,6,10,10,6.25,73.5
CR,FL,15,6.25,6.5,6.25,6.25,6.25,10,6.25,10,10,6.25,74
CR,FL,15,6.5,6.75,6.5,7,6.5,10,6.5,10,10,6.5,76.25
CR,FL,15,6.5,6.75,6.5,7,6.5,10,6.5,10,10,6.5,76.25
CR,FL,15,6.5,6.5,6.25,6.25,6.5,10,6.5,10,10,6.5,75
CR,FL,15,7.25,7,7,6,6.5,10,6.5,10,10,7,77.25
CR,FL,15,6.75,6.5,6,6.25,6.75,10,6.5,10,10,6.5,75.25
CR,FL,15,6.5,6.5,6.5,6.25,6.5,10,6.5,10,10,6.25,75
CR,FL,15,7,6.75,6.5,6,7,10,6.5,10,10,6.5,76.25
CR,FL,15,7.25,7,6.75,6,6.5,10,6.5,10,10,6.5,76.5
CR,FL,16,6.5,6.25,6.25,6,6.25,10,6.5,10,10,6.5,74.25
CR,FL,16,6,6,6,6,6,10,6.25,10,10,6,72.5
CR,FL,16,7,6.5,6,7.5,7,8,6.5,8,10,6.25,70.75
CR,FL,16,6.26,6,6,6,6,10,6.25,10,10,6.25,72.75
CR,FL,16,6.25,6.25,6,6,6.25,10,6.25,10,10,6.25,73.25
CR,FL,16,6.5,6,6.25,6.25,6,10,6.25,10,10,6.25,73.5
CR,FL,16,6,6,6,6,6,10,6.25,10,8,6.5,70.75
