Variety,Shape,Sieve,Aroma,Flavor,Aftertaste,Acidity,Body,Uniformity,Balance,clean cup,Sweetness,Taster´s score,Final score
CO,PE,13,6.5,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.5
CO,PE,13,6.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.0
CO,PE,13,6.75,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.75
CO,PE,13,6.75,6.5,6.5,6.0,6.0,10.0,6.0,10,10,6.0,73.75
CO,MI,13,6.75,6.25,6.25,6.25,6.5,10.0,6.5,10,10,6.5,75.0
CO,MI,13,6.5,6.5,6.25,6.25,6.5,10.0,6.75,10,10,6.75,75.5
CO,MI,13,6.0,7.0,6.25,6.0,6.0,10.0,6.25,10,10,6.25,73.75
CO,MI,13,7.5,6.5,6.75,6.5,6.5,10.0,6.5,10,10,6.5,76.75
CO,MI,13,6.5,6.25,6.25,6.0,6.0,10.0,6.0,10,10,6.0,73.0
CO,MI,13,6.75,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.75
CO,MI,13,6.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.0
CO,MI,14,6.5,6.25,6.0,6.0,6.5,10.0,6.5,10,10,6.5,74.25
CO,MI,14,6.25,6.0,6.0,6.0,6.25,10.0,6.25,10,10,6.25,73.0
CO,MI,14,7.0,7.0,7.25,7.25,7.0,10.0,7.0,10,10,7.25,79.75
CO,MI,14,6.25,6.25,6.0,6.0,6.0,10.0,6.25,10,10,6.25,73.0
CO,MI,14,7.0,6.25,6.0,6.5,6.25,10.0,6.25,10,10,6.25,74.5
CO,MI,14,7.0,6.5,6.5,6.5,6.25,10.0,6.5,10,10,6.25,75.5
CO,MI,14,7.75,7.25,7.25,7.25,7.0,10.0,7.0,10,10,7.25,80.75
CO,MI,14,7.5,7.0,7.0,7.0,6.5,10.0,7.25,10,10,7.25,79.5
CO,MI,15,7.0,7.0,7.0,6.75,7.0,10.0,6.75,10,10,6.75,78.25
CO,MI,15,6.25,6.25,6.25,6.25,6.25,10.0,6.25,10,10,6.25,73.75
CO,MI,15,7.25,7.25,7.0,7.0,6.75,10.0,7.25,10,10,7.0,79.5
CO,MI,15,6.75,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.75
CO,MI,15,6.5,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.5
CO,FL,13,7.0,7.0,7.0,7.25,7.0,10.0,7.0,10,10,7.0,79.25
